Endothelial	Endothelial_lymphatic	Keratinocytes	Fibroblasts	Smooth_muscle	Gland_cells	Adipocytes	Schwann_cells	T_cells	B_cells	NK_cells	Mono_macro	Granulocytes	Erythrocytes
VWF	FLT4	LY6D	POSTN	SORBS2	PAEP	ACSBG1	LTBP4	CXCL13	IGKC	GNLY	C1QC	VWA5A	HBB
AQP1	MMRN1	S100A7	MXRA8	CLU	CLDN5	ALOX15B	NGFR	CCR7	IGHG1	GZMA	C1QA	TPSAB1	HBA2
PLVAP	LMO2	DMKN	SFRP2	C1QTNF1	FLT4	THRSP	MPZ	CCL22	IGHA1	CCL5	C1QB	TPSB2	
ENG	RELN	KRT80	SULF1	DEPP1	APOD	DHCR24	MBP	CXCR4	IGLC3	GZMB	CD74	CPA3	
A2M	FXYD6	KRT6C	TRAC	PI15	AQP5	APMAP	S100B	TDO2	IGHG2	PRF1	RNASE1	CTSG	
PECAM1	PROX1	IVL	FBLN2	MYH11	LTF	ALDH3B2	PMP22	SELL	CD22	CXCL9	SPP1		
		SPRR1A	ELN	IGFBP5	PLA2R1	CYB5A	SEMA3B	CD4	NIBAN3		IL1RL1		
		MMP7	CPXM1	DES	ATP1B1	FADS1	NRXN1	TRAC			PTGS2		
		C5orf46	PI16	C11orf96	NDRG2	DGAT2		TRBC1			RNASE7		
		KRT7	COL14A1	MYLK	KRT7	FABP4		TRBC2			THBS1		
		AZGP1	CD248	LMOD1	ID4	PLIN1					IL24		
		CNFN	MFAP4	TNS1		PLIN4					CXCL8		
		SPRR1A		cNN1		LPL					CXCL3		
		LCE3D				CFD					STAB1		
		SPRR2D				G0S2					F13A1		
		DEPRECATED_ENSG00000163216				CD36					FCER1A		
		LAMC2									CD14		
		LAMB3									CD163		
		MMP3									FGL2		
		COL7A1									MS4A6A		
		KRT17									LGMN		
		MMP10									DAB2		
		DEPRECATED_ENSG00000128422											
